     t           p           q          AA          aa          Aa
     0      0.4957           0.5043           1216.0           1259.0           2525.0
     1      0.4992           0.5008           1237.0           1245.0           2518.0
     2      0.4949           0.5051           1214.0           1265.0           2521.0
     3      0.4990           0.5010           1251.0           1261.0           2488.0
     4      0.4983           0.5017           1220.0           1237.0           2543.0
     5      0.4981           0.5019           1236.0           1255.0           2509.0
     6      0.5046           0.4954           1283.0           1237.0           2480.0
     7      0.5065           0.4935           1277.0           1212.0           2511.0
     8      0.5041           0.4959           1234.0           1193.0           2573.0
     9      0.5038           0.4962           1222.0           1184.0           2594.0
    10      0.4938           0.5062           1228.0           1290.0           2482.0
    11      0.4982           0.5018           1226.0           1244.0           2530.0
    12      0.5003           0.4997           1245.0           1242.0           2513.0
    13      0.5071           0.4929           1327.0           1256.0           2417.0
    14      0.5063           0.4937           1282.0           1219.0           2499.0
    15      0.5046           0.4954           1273.0           1227.0           2500.0
    16      0.5051           0.4949           1292.0           1241.0           2467.0
    17      0.5115           0.4885           1301.0           1186.0           2513.0
    18      0.5111           0.4889           1346.0           1235.0           2419.0
    19      0.5171           0.4829           1326.0           1155.0           2519.0
    20      0.5138           0.4862           1297.0           1159.0           2544.0
    21      0.5089           0.4911           1266.0           1177.0           2557.0
    22      0.5062           0.4938           1260.0           1198.0           2542.0
    23      0.5069           0.4931           1282.0           1213.0           2505.0
    24      0.5105           0.4895           1291.0           1186.0           2523.0
    25      0.5206           0.4794           1321.0           1115.0           2564.0
    26      0.5228           0.4772           1368.0           1140.0           2492.0
    27      0.5088           0.4912           1285.0           1197.0           2518.0
    28      0.5050           0.4950           1283.0           1233.0           2484.0
    29      0.4924           0.5076           1232.0           1308.0           2460.0
    30      0.4860           0.5140           1190.0           1330.0           2480.0
    31      0.4764           0.5236           1127.0           1363.0           2510.0
    32      0.4746           0.5254           1159.0           1413.0           2428.0
    33      0.4839           0.5161           1191.0           1352.0           2457.0
    34      0.4777           0.5223           1128.0           1351.0           2521.0
    35      0.4767           0.5233           1156.0           1389.0           2455.0
    36      0.4791           0.5209           1180.0           1389.0           2431.0
    37      0.4853           0.5147           1198.0           1345.0           2457.0
    38      0.4804           0.5196           1164.0           1360.0           2476.0
    39      0.4734           0.5266           1116.0           1382.0           2502.0
    40      0.4695           0.5305           1114.0           1419.0           2467.0
    41      0.4657           0.5343           1092.0           1435.0           2473.0
    42      0.4719           0.5281           1117.0           1398.0           2485.0
    43      0.4737           0.5263           1070.0           1333.0           2597.0
    44      0.4714           0.5286           1104.0           1390.0           2506.0
    45      0.4675           0.5325           1091.0           1416.0           2493.0
    46      0.4658           0.5342           1059.0           1401.0           2540.0
    47      0.4696           0.5304           1064.0           1368.0           2568.0
    48      0.4765           0.5235           1124.0           1359.0           2517.0
    49      0.4769           0.5231           1133.0           1364.0           2503.0
    50      0.4868           0.5132           1194.0           1326.0           2480.0
    51      0.4789           0.5211           1167.0           1378.0           2455.0
    52      0.4761           0.5239           1143.0           1382.0           2475.0
    53      0.4763           0.5237           1151.0           1388.0           2461.0
    54      0.4775           0.5225           1149.0           1374.0           2477.0
    55      0.4836           0.5164           1170.0           1334.0           2496.0
    56      0.4901           0.5099           1220.0           1319.0           2461.0
    57      0.4889           0.5111           1171.0           1282.0           2547.0
    58      0.4856           0.5144           1156.0           1300.0           2544.0
    59      0.4851           0.5149           1184.0           1333.0           2483.0
    60      0.4751           0.5249           1161.0           1410.0           2429.0
    61      0.4788           0.5212           1126.0           1338.0           2536.0
    62      0.4762           0.5238           1109.0           1347.0           2544.0
    63      0.4801           0.5199           1175.0           1374.0           2451.0
    64      0.4819           0.5181           1196.0           1377.0           2427.0
    65      0.4753           0.5247           1149.0           1396.0           2455.0
    66      0.4737           0.5263           1119.0           1382.0           2499.0
    67      0.4871           0.5129           1182.0           1311.0           2507.0
    68      0.4840           0.5160           1182.0           1342.0           2476.0
    69      0.4870           0.5130           1138.0           1268.0           2594.0
    70      0.4895           0.5105           1202.0           1307.0           2491.0
    71      0.4829           0.5171           1158.0           1329.0           2513.0
    72      0.4938           0.5062           1203.0           1265.0           2532.0
    73      0.4966           0.5034           1211.0           1245.0           2544.0
    74      0.4933           0.5067           1215.0           1282.0           2503.0
    75      0.4875           0.5125           1207.0           1332.0           2461.0
    76      0.4955           0.5045           1195.0           1240.0           2565.0
    77      0.4959           0.5041           1200.0           1241.0           2559.0
    78      0.4930           0.5070           1184.0           1254.0           2562.0
    79      0.4955           0.5045           1225.0           1270.0           2505.0
    80      0.4934           0.5066           1235.0           1301.0           2464.0
    81      0.4928           0.5072           1225.0           1297.0           2478.0
    82      0.4889           0.5111           1193.0           1304.0           2503.0
    83      0.4930           0.5070           1225.0           1295.0           2480.0
    84      0.4916           0.5084           1260.0           1344.0           2396.0
    85      0.4893           0.5107           1188.0           1295.0           2517.0
    86      0.4921           0.5079           1269.0           1348.0           2383.0
    87      0.4960           0.5040           1211.0           1251.0           2538.0
    88      0.4945           0.5055           1236.0           1291.0           2473.0
    89      0.4904           0.5096           1190.0           1286.0           2524.0
    90      0.4899           0.5101           1187.0           1288.0           2525.0
    91      0.4909           0.5091           1201.0           1292.0           2507.0
    92      0.5013           0.4987           1240.0           1227.0           2533.0
    93      0.5078           0.4922           1289.0           1211.0           2500.0
    94      0.5091           0.4909           1298.0           1207.0           2495.0
    95      0.5166           0.4834           1309.0           1143.0           2548.0
    96      0.5177           0.4823           1339.0           1162.0           2499.0
    97      0.5148           0.4852           1331.0           1183.0           2486.0
    98      0.5146           0.4854           1313.0           1167.0           2520.0
    99      0.5103           0.4897           1317.0           1214.0           2469.0
   100      0.5024           0.4976           1248.0           1224.0           2528.0
   101      0.5003           0.4997           1252.0           1249.0           2499.0
   102      0.5019           0.4981           1251.0           1232.0           2517.0
   103      0.5028           0.4972           1277.0           1249.0           2474.0
   104      0.5035           0.4965           1231.0           1196.0           2573.0
   105      0.5031           0.4969           1276.0           1245.0           2479.0
   106      0.5096           0.4904           1316.0           1220.0           2464.0
   107      0.5155           0.4845           1321.0           1166.0           2513.0
   108      0.5214           0.4786           1329.0           1115.0           2556.0
   109      0.5208           0.4792           1347.0           1139.0           2514.0
   110      0.5222           0.4778           1378.0           1156.0           2466.0
   111      0.5234           0.4766           1376.0           1142.0           2482.0
   112      0.5166           0.4834           1345.0           1179.0           2476.0
   113      0.5200           0.4800           1355.0           1155.0           2490.0
   114      0.5240           0.4760           1344.0           1104.0           2552.0
   115      0.5276           0.4724           1408.0           1132.0           2460.0
   116      0.5257           0.4743           1367.0           1110.0           2523.0
   117      0.5277           0.4723           1430.0           1153.0           2417.0
   118      0.5250           0.4750           1377.0           1127.0           2496.0
   119      0.5273           0.4727           1408.0           1135.0           2457.0
   120      0.5273           0.4727           1383.0           1110.0           2507.0
   121      0.5311           0.4689           1429.0           1118.0           2453.0
   122      0.5252           0.4748           1378.0           1126.0           2496.0
   123      0.5209           0.4791           1375.0           1166.0           2459.0
