t   p   q   AA   aa   Aa
0        0.5019        0.4981        1250        1231        2519
1        0.5077        0.4923        1316        1239        2445
2        0.5049        0.4951        1256        1207        2537
3        0.4924        0.5076        1204        1280        2516
4        0.4943        0.5057        1197        1254        2549
5        0.4947        0.5053        1207        1260        2533
6        0.4913        0.5087        1214        1301        2485
7        0.475        0.525        1149        1399        2452
8        0.4735        0.5265        1118        1383        2499
9        0.4762        0.5238        1148        1386        2466
10        0.4724        0.5276        1107        1383        2510
11        0.4705        0.5295        1094        1389        2517
12        0.4751        0.5249        1160        1409        2431
13        0.4602        0.5398        1075        1473        2452
14        0.4621        0.5379        1063        1442        2495
15        0.455        0.545        1027        1477        2496
16        0.4288        0.5712        895        1607        2498
17        0.4238        0.5762        880        1642        2478
18        0.4141        0.5859        866        1725        2409
19        0.3969        0.6031        778        1809        2413
20        0.3885        0.6115        748        1863        2389
21        0.3908        0.6092        721        1813        2466
22        0.3879        0.6121        743        1864        2393
23        0.3823        0.6177        742        1919        2339
24        0.3738        0.6262        708        1970        2322
25        0.3949        0.6051        798        1849        2353
26        0.3895        0.6105        740        1845        2415
27        0.4        0.6        794        1794        2412
28        0.391        0.609        786        1876        2338
29        0.3971        0.6029        783        1812        2405
30        0.4146        0.5854        880        1734        2386
31        0.4376        0.5624        954        1578        2468
32        0.4308        0.5692        936        1628        2436
33        0.4189        0.5811        877        1688        2435
34        0.4072        0.5928        814        1742        2444
35        0.3959        0.6041        811        1852        2337
36        0.3939        0.6061        800        1861        2339
37        0.3921        0.6079        749        1828        2423
38        0.374        0.626        685        1945        2370
39        0.3792        0.6208        711        1919        2370
40        0.3829        0.6171        744        1915        2341
41        0.3834        0.6166        743        1909        2348
42        0.389        0.611        760        1870        2370
43        0.3736        0.6264        725        1989        2286
44        0.3784        0.6216        743        1959        2298
45        0.3787        0.6213        738        1951        2311
46        0.3719        0.6281        698        1979        2323
47        0.3551        0.6449        622        2071        2307
48        0.3656        0.6344        707        2051        2242
49        0.3596        0.6404        626        2030        2344
50        0.3548        0.6452        651        2103        2246
51        0.3506        0.6494        605        2099        2296
52        0.3444        0.6556        631        2187        2182
53        0.3537        0.6463        596        2059        2345
54        0.3545        0.6455        600        2055        2345
55        0.3589        0.6411        635        2046        2319
56        0.3496        0.6504        628        2132        2240
57        0.3542        0.6458        627        2085        2288
58        0.3532        0.6468        625        2093        2282
59        0.3334        0.6666        553        2219        2228
60        0.3324        0.6676        540        2216        2244
61        0.335        0.665        570        2220        2210
62        0.3451        0.6549        617        2166        2217
