     t           p           q          AA          aa          Aa
     0      0.4400           0.5600             11.0             17.0             22.0
     1      0.4600           0.5400             10.0             14.0             26.0
     2      0.4800           0.5200             13.0             15.0             22.0
     3      0.4800           0.5200             10.0             12.0             28.0
     4      0.4900           0.5100              9.0             10.0             31.0
     5      0.5200           0.4800             13.0             11.0             26.0
     6      0.5100           0.4900             12.0             11.0             27.0
     7      0.4200           0.5800              7.0             15.0             28.0
     8      0.5100           0.4900             13.0             12.0             25.0
     9      0.4800           0.5200             12.0             14.0             24.0
    10      0.4900           0.5100             10.0             11.0             29.0
    11      0.5000           0.5000             16.0             16.0             18.0
    12      0.5100           0.4900             13.0             12.0             25.0
    13      0.4400           0.5600              9.0             15.0             26.0
    14      0.4300           0.5700             11.0             18.0             21.0
    15      0.4800           0.5200              9.0             11.0             30.0
    16      0.5200           0.4800             14.0             12.0             24.0
    17      0.5000           0.5000             11.0             11.0             28.0
    18      0.4500           0.5500              9.0             14.0             27.0
    19      0.3900           0.6100              5.0             16.0             29.0
    20      0.3200           0.6800              3.0             21.0             26.0
    21      0.3200           0.6800              2.0             20.0             28.0
    22      0.3900           0.6100              8.0             19.0             23.0
    23      0.4200           0.5800              7.0             15.0             28.0
    24      0.3700           0.6300              7.0             20.0             23.0
    25      0.3300           0.6700              8.0             25.0             17.0
    26      0.3000           0.7000              1.0             21.0             28.0
    27      0.2700           0.7300              5.0             28.0             17.0
    28      0.2700           0.7300              2.0             25.0             23.0
    29      0.1900           0.8100              1.0             32.0             17.0
    30      0.2100           0.7900              0.0             29.0             21.0
    31      0.2200           0.7800              2.0             30.0             18.0
    32      0.2600           0.7400              1.0             25.0             24.0
    33      0.2000           0.8000              3.0             33.0             14.0
    34      0.2100           0.7900              1.0             30.0             19.0
    35      0.1600           0.8400              2.0             36.0             12.0
    36      0.1600           0.8400              0.0             34.0             16.0
    37      0.2000           0.8000              2.0             32.0             16.0
    38      0.1800           0.8200              2.0             34.0             14.0
    39      0.1200           0.8800              0.0             38.0             12.0
    40      0.1400           0.8600              1.0             37.0             12.0
    41      0.1400           0.8600              2.0             38.0             10.0
    42      0.1900           0.8100              2.0             33.0             15.0
    43      0.1700           0.8300              1.0             34.0             15.0
    44      0.1400           0.8600              0.0             36.0             14.0
    45      0.1400           0.8600              1.0             37.0             12.0
    46      0.1400           0.8600              0.0             36.0             14.0
    47      0.1700           0.8300              2.0             35.0             13.0
    48      0.1400           0.8600              0.0             36.0             14.0
    49      0.1800           0.8200              0.0             32.0             18.0
    50      0.1400           0.8600              1.0             37.0             12.0
    51      0.1500           0.8500              1.0             36.0             13.0
    52      0.1500           0.8500              2.0             37.0             11.0
    53      0.0900           0.9100              0.0             41.0              9.0
    54      0.0900           0.9100              0.0             41.0              9.0
    55      0.1600           0.8400              1.0             35.0             14.0
    56      0.1200           0.8800              1.0             39.0             10.0
    57      0.1600           0.8400              1.0             35.0             14.0
    58      0.1600           0.8400              1.0             35.0             14.0
    59      0.2100           0.7900              2.0             31.0             17.0
    60      0.1800           0.8200              0.0             32.0             18.0
    61      0.1800           0.8200              2.0             34.0             14.0
    62      0.3100           0.6900              5.0             24.0             21.0
    63      0.2800           0.7200              8.0             30.0             12.0
    64      0.3300           0.6700              3.0             20.0             27.0
    65      0.2300           0.7700              2.0             29.0             19.0
    66      0.2500           0.7500              4.0             29.0             17.0
    67      0.3000           0.7000              4.0             24.0             22.0
    68      0.3400           0.6600              6.0             22.0             22.0
    69      0.3600           0.6400              6.0             20.0             24.0
    70      0.3500           0.6500              6.0             21.0             23.0
    71      0.3200           0.6800              6.0             24.0             20.0
    72      0.2600           0.7400              3.0             27.0             20.0
    73      0.2500           0.7500              1.0             26.0             23.0
    74      0.2400           0.7600              2.0             28.0             20.0
    75      0.2600           0.7400              5.0             29.0             16.0
    76      0.2700           0.7300              5.0             28.0             17.0
    77      0.2200           0.7800              1.0             29.0             20.0
    78      0.2800           0.7200              6.0             28.0             16.0
    79      0.2500           0.7500              4.0             29.0             17.0
    80      0.3000           0.7000              5.0             25.0             20.0
    81      0.3200           0.6800              4.0             22.0             24.0
    82      0.2500           0.7500              3.0             28.0             19.0
    83      0.2800           0.7200              4.0             26.0             20.0
    84      0.3200           0.6800              4.0             22.0             24.0
    85      0.3000           0.7000              2.0             22.0             26.0
    86      0.3700           0.6300              8.0             21.0             21.0
    87      0.4200           0.5800             10.0             18.0             22.0
    88      0.3400           0.6600              6.0             22.0             22.0
    89      0.2800           0.7200              2.0             24.0             24.0
    90      0.2500           0.7500              2.0             27.0             21.0
    91      0.2800           0.7200              3.0             25.0             22.0
    92      0.2500           0.7500              4.0             29.0             17.0
    93      0.2200           0.7800              2.0             30.0             18.0
    94      0.2500           0.7500              4.0             29.0             17.0
    95      0.2800           0.7200              3.0             25.0             22.0
    96      0.2700           0.7300              5.0             28.0             17.0
    97      0.2300           0.7700              2.0             29.0             19.0
    98      0.3300           0.6700              8.0             25.0             17.0
    99      0.3700           0.6300             10.0             23.0             17.0
   100      0.4000           0.6000              8.0             18.0             24.0
   101      0.4200           0.5800              6.0             14.0             30.0
   102      0.4200           0.5800             11.0             19.0             20.0
   103      0.3500           0.6500              7.0             22.0             21.0
   104      0.3100           0.6900              5.0             24.0             21.0
   105      0.2900           0.7100              4.0             25.0             21.0
   106      0.2500           0.7500              4.0             29.0             17.0
   107      0.3000           0.7000              3.0             23.0             24.0
   108      0.3500           0.6500              4.0             19.0             27.0
   109      0.3400           0.6600              7.0             23.0             20.0
   110      0.4200           0.5800              9.0             17.0             24.0
   111      0.4200           0.5800              8.0             16.0             26.0
   112      0.4100           0.5900              9.0             18.0             23.0
   113      0.4200           0.5800              8.0             16.0             26.0
   114      0.3800           0.6200              6.0             18.0             26.0
   115      0.4400           0.5600             11.0             17.0             22.0
   116      0.4400           0.5600             12.0             18.0             20.0
   117      0.3800           0.6200              5.0             17.0             28.0
