     t           p           q          AA          aa          Aa
     0      0.5097           0.4903           1292.0           1195.0           2513.0
     1      0.5130           0.4870           1307.0           1177.0           2516.0
     2      0.5177           0.4823           1320.0           1143.0           2537.0
     3      0.5112           0.4888           1298.0           1186.0           2516.0
     4      0.5192           0.4808           1347.0           1155.0           2498.0
     5      0.5299           0.4701           1381.0           1082.0           2537.0
     6      0.5352           0.4648           1444.0           1092.0           2464.0
     7      0.5417           0.4583           1445.0           1028.0           2527.0
     8      0.5364           0.4636           1430.0           1066.0           2504.0
     9      0.5451           0.4549           1483.0           1032.0           2485.0
    10      0.5573           0.4427           1535.0            962.0           2503.0
    11      0.5605           0.4395           1565.0            960.0           2475.0
    12      0.5569           0.4431           1518.0            949.0           2533.0
    13      0.5571           0.4429           1569.0            998.0           2433.0
    14      0.5582           0.4418           1570.0            988.0           2442.0
    15      0.5569           0.4431           1515.0            946.0           2539.0
    16      0.5528           0.4472           1539.0           1011.0           2450.0
    17      0.5532           0.4468           1503.0            971.0           2526.0
    18      0.5507           0.4493           1531.0           1024.0           2445.0
    19      0.5607           0.4393           1566.0            959.0           2475.0
    20      0.5569           0.4431           1571.0           1002.0           2427.0
    21      0.5580           0.4420           1569.0            989.0           2442.0
    22      0.5564           0.4436           1563.0            999.0           2438.0
    23      0.5520           0.4480           1538.0           1018.0           2444.0
    24      0.5527           0.4473           1553.0           1026.0           2421.0
    25      0.5570           0.4430           1580.0           1010.0           2410.0
    26      0.5618           0.4382           1611.0            993.0           2396.0
    27      0.5605           0.4395           1574.0            969.0           2457.0
    28      0.5620           0.4380           1574.0            954.0           2472.0
    29      0.5573           0.4427           1546.0            973.0           2481.0
    30      0.5568           0.4432           1552.0            984.0           2464.0
    31      0.5616           0.4384           1556.0            940.0           2504.0
    32      0.5630           0.4370           1586.0            956.0           2458.0
    33      0.5634           0.4366           1599.0            965.0           2436.0
    34      0.5574           0.4426           1584.0           1010.0           2406.0
    35      0.5530           0.4470           1532.0           1002.0           2466.0
    36      0.5598           0.4402           1537.0            939.0           2524.0
    37      0.5597           0.4403           1577.0            980.0           2443.0
    38      0.5434           0.4566           1470.0           1036.0           2494.0
    39      0.5381           0.4619           1435.0           1054.0           2511.0
    40      0.5373           0.4627           1451.0           1078.0           2471.0
    41      0.5385           0.4615           1430.0           1045.0           2525.0
    42      0.5369           0.4631           1449.0           1080.0           2471.0
    43      0.5413           0.4587           1496.0           1083.0           2421.0
    44      0.5463           0.4537           1502.0           1039.0           2459.0
    45      0.5539           0.4461           1521.0            982.0           2497.0
    46      0.5540           0.4460           1542.0           1002.0           2456.0
    47      0.5565           0.4435           1536.0            971.0           2493.0
    48      0.5576           0.4424           1545.0            969.0           2486.0
    49      0.5643           0.4357           1574.0            931.0           2495.0
    50      0.5666           0.4334           1603.0            937.0           2460.0
    51      0.5613           0.4387           1594.0            981.0           2425.0
    52      0.5557           0.4443           1532.0            975.0           2493.0
    53      0.5599           0.4401           1604.0           1005.0           2391.0
    54      0.5589           0.4411           1549.0            960.0           2491.0
    55      0.5626           0.4374           1577.0            951.0           2472.0
    56      0.5686           0.4314           1573.0            887.0           2540.0
    57      0.5636           0.4364           1588.0            952.0           2460.0
    58      0.5604           0.4396           1569.0            965.0           2466.0
    59      0.5600           0.4400           1584.0            984.0           2432.0
    60      0.5610           0.4390           1600.0            990.0           2410.0
    61      0.5547           0.4453           1546.0            999.0           2455.0
    62      0.5554           0.4446           1553.0            999.0           2448.0
    63      0.5595           0.4405           1608.0           1013.0           2379.0
    64      0.5566           0.4434           1554.0            988.0           2458.0
    65      0.5668           0.4332           1587.0            919.0           2494.0
    66      0.5649           0.4351           1616.0            967.0           2417.0
    67      0.5640           0.4360           1596.0            956.0           2448.0
    68      0.5678           0.4322           1596.0            918.0           2486.0
    69      0.5670           0.4330           1625.0            955.0           2420.0
    70      0.5677           0.4323           1636.0            959.0           2405.0
    71      0.5654           0.4346           1625.0            971.0           2404.0
    72      0.5634           0.4366           1587.0            953.0           2460.0
    73      0.5588           0.4412           1565.0            977.0           2458.0
    74      0.5668           0.4332           1584.0            916.0           2500.0
    75      0.5698           0.4302           1624.0            926.0           2450.0
    76      0.5679           0.4321           1620.0            941.0           2439.0
