t   p   q   AA   aa   Aa
0        0.50295        0.49705        2537        2478        4985
1        0.50785        0.49215        2571        2414        5015
2        0.50275        0.49725        2506        2451        5043
3        0.5122        0.4878        2642        2398        4960
4        0.5125        0.4875        2613        2363        5024
5        0.516        0.484        2683        2363        4954
6        0.50795        0.49205        2551        2392        5057
7        0.51055        0.48945        2628        2417        4955
8        0.4978        0.5022        2503        2547        4950
9        0.4939        0.5061        2401        2523        5076
10        0.4886        0.5114        2391        2619        4990
11        0.47955        0.52045        2249        2658        5093
12        0.45775        0.54225        2085        2930        4985
13        0.4495        0.5505        2025        3035        4940
14        0.4332        0.5668        1864        3200        4936
15        0.4369        0.5631        1936        3198        4866
16        0.43135        0.56865        1862        3235        4903
17        0.4413        0.5587        1936        3110        4954
18        0.44735        0.55265        1970        3023        5007
19        0.44025        0.55975        1958        3153        4889
20        0.44295        0.55705        2000        3141        4859
21        0.4417        0.5583        1991        3157        4852
22        0.44765        0.55235        2019        3066        4915
23        0.44925        0.55075        2009        3024        4967
24        0.43555        0.56445        1915        3204        4881
25        0.43195        0.56805        1892        3253        4855
26        0.44575        0.55425        1960        3045        4995
27        0.43655        0.56345        1911        3180        4909
28        0.43545        0.56455        1949        3240        4811
29        0.43735        0.56265        1936        3189        4875
30        0.4434        0.5566        1992        3124        4884
31        0.44175        0.55825        1970        3135        4895
32        0.442        0.558        1970        3130        4900
33        0.4404        0.5596        1947        3139        4914
34        0.4483        0.5517        2013        3047        4940
35        0.44605        0.55395        1952        3031        5017
36        0.4518        0.5482        2030        2994        4976
37        0.45685        0.54315        2076        2939        4985
38        0.45375        0.54625        2077        3002        4921
39        0.4562        0.5438        2037        2913        5050
40        0.45425        0.54575        2080        2995        4925
41        0.45285        0.54715        2051        2994        4955
42        0.436        0.564        1908        3188        4904
43        0.43015        0.56985        1831        3228        4941
44        0.4228        0.5772        1748        3292        4960
45        0.43195        0.56805        1823        3184        4993
46        0.44785        0.55215        1989        3032        4979
47        0.45305        0.54695        2041        2980        4979
48        0.44805        0.55195        2005        3044        4951
49        0.43475        0.56525        1828        3133        5039
50        0.43265        0.56735        1920        3267        4813
51        0.43185        0.56815        1852        3215        4933
52        0.43315        0.56685        1898        3235        4867
53        0.43195        0.56805        1894        3255        4851
54        0.43985        0.56015        1923        3126        4951
55        0.42835        0.57165        1842        3275        4883
56        0.4294        0.5706        1864        3276        4860
57        0.42045        0.57955        1757        3348        4895
58        0.42225        0.57775        1771        3326        4903
59        0.42685        0.57315        1845        3308        4847
60        0.42545        0.57455        1836        3327        4837
61        0.41515        0.58485        1685        3382        4933
62        0.4244        0.5756        1789        3301        4910
63        0.4237        0.5763        1808        3334        4858
64        0.4169        0.5831        1736        3398        4866
