t   p   q   AA   aa   Aa
0        0.4956        0.5044        2418        2506        5076
1        0.49495        0.50505        2430        2531        5039
2        0.4869        0.5131        2343        2605        5052
3        0.4884        0.5116        2381        2613        5006
4        0.49445        0.50555        2432        2543        5025
5        0.48925        0.51075        2408        2623        4969
6        0.47965        0.52035        2304        2711        4985
7        0.4635        0.5365        2161        2891        4948
8        0.46        0.54        2176        2976        4848
9        0.46745        0.53255        2195        2846        4959
10        0.4807        0.5193        2332        2718        4950
11        0.4867        0.5133        2387        2653        4960
12        0.48805        0.51195        2376        2615        5009
13        0.48335        0.51665        2328        2661        5011
14        0.4722        0.5278        2201        2757        5042
15        0.46745        0.53255        2173        2824        5003
16        0.48295        0.51705        2329        2670        5001
17        0.4823        0.5177        2368        2722        4910
18        0.47305        0.52695        2254        2793        4953
19        0.479        0.521        2307        2727        4966
20        0.4898        0.5102        2386        2590        5024
21        0.4822        0.5178        2372        2728        4900
22        0.4864        0.5136        2324        2596        5080
23        0.48345        0.51655        2286        2617        5097
24        0.4806        0.5194        2308        2696        4996
25        0.4871        0.5129        2398        2656        4946
26        0.4848        0.5152        2372        2676        4952
27        0.47855        0.52145        2296        2725        4979
28        0.4742        0.5258        2238        2754        5008
29        0.47515        0.52485        2274        2771        4955
30        0.4699        0.5301        2153        2755        5092
31        0.4699        0.5301        2256        2858        4886
32        0.4638        0.5362        2175        2899        4926
33        0.46205        0.53795        2136        2895        4969
34        0.4537        0.5463        2048        2974        4978
35        0.4595        0.5405        2101        2911        4988
36        0.46585        0.53415        2162        2845        4993
37        0.4691        0.5309        2184        2802        5014
38        0.4658        0.5342        2170        2854        4976
39        0.45945        0.54055        2099        2910        4991
40        0.4601        0.5399        2123        2921        4956
41        0.4623        0.5377        2153        2907        4940
42        0.47115        0.52885        2169        2746        5085
43        0.4702        0.5298        2184        2780        5036
44        0.4686        0.5314        2196        2824        4980
45        0.472        0.528        2245        2805        4950
46        0.46055        0.53945        2124        2913        4963
47        0.46195        0.53805        2107        2868        5025
48        0.4666        0.5334        2187        2855        4958
49        0.463        0.537        2162        2902        4936
50        0.4596        0.5404        2077        2885        5038
51        0.4562        0.5438        2048        2924        5028
52        0.45255        0.54745        2055        3004        4941
53        0.447        0.553        1978        3038        4984
54        0.44885        0.55115        2053        3076        4871
55        0.45555        0.54445        2055        2944        5001
56        0.46015        0.53985        2105        2902        4993
57        0.4611        0.5389        2114        2892        4994
58        0.47375        0.52625        2259        2784        4957
59        0.46365        0.53635        2154        2881        4965
60        0.4559        0.5441        2075        2957        4968
61        0.4595        0.5405        2131        2941        4928
62        0.46805        0.53195        2199        2838        4963
63        0.46755        0.53245        2160        2809        5031
64        0.4663        0.5337        2145        2819        5036
65        0.46175        0.53825        2112        2877        5011
66        0.4604        0.5396        2115        2907        4978
67        0.4686        0.5314        2203        2831        4966
68        0.4599        0.5401        2044        2846        5110
69        0.46535        0.53465        2159        2852        4989
70        0.46365        0.53635        2118        2845        5037
71        0.4745        0.5255        2256        2766        4978
72        0.4748        0.5252        2240        2744        5016
73        0.48055        0.51945        2315        2704        4981
74        0.4762        0.5238        2265        2741        4994
75        0.47755        0.52245        2279        2728        4993
76        0.48605        0.51395        2388        2667        4945
77        0.4769        0.5231        2285        2747        4968
78        0.4846        0.5154        2322        2630        5048
79        0.4959        0.5041        2467        2549        4984
80        0.4954        0.5046        2431        2523        5046
81        0.50195        0.49805        2526        2487        4987
82        0.5083        0.4917        2575        2409        5016
83        0.50925        0.49075        2615        2430        4955
84        0.5234        0.4766        2748        2280        4972
85        0.52105        0.47895        2754        2333        4913
86        0.53145        0.46855        2865        2236        4899
87        0.52495        0.47505        2723        2224        5053
88        0.52275        0.47725        2732        2277        4991
89        0.5083        0.4917        2600        2434        4966
90        0.5087        0.4913        2592        2418        4990
91        0.5039        0.4961        2568        2490        4942
92        0.4951        0.5049        2455        2553        4992
93        0.49265        0.50735        2480        2627        4893
94        0.50435        0.49565        2526        2439        5035
95        0.5161        0.4839        2634        2312        5054
96        0.5152        0.4848        2675        2371        4954
97        0.51335        0.48665        2628        2361        5011
98        0.5037        0.4963        2566        2492        4942
99        0.5119        0.4881        2613        2375        5012
100        0.512        0.488        2613        2373        5014
101        0.5188        0.4812        2684        2308        5008
102        0.5246        0.4754        2794        2302        4904
103        0.5206        0.4794        2720        2308        4972
104        0.5241        0.4759        2719        2237        5044
105        0.52495        0.47505        2750        2251        4999
106        0.5339        0.4661        2877        2199        4924
107        0.54145        0.45855        2981        2152        4867
108        0.5404        0.4596        2912        2104        4984
109        0.53385        0.46615        2847        2170        4983
110        0.5376        0.4624        2895        2143        4962
111        0.54155        0.45845        2930        2099        4971
112        0.5435        0.4565        2947        2077        4976
113        0.5386        0.4614        2895        2123        4982
114        0.5426        0.4574        2906        2054        5040
115        0.53265        0.46735        2853        2200        4947
116        0.52735        0.47265        2782        2235        4983
117        0.52165        0.47835        2688        2255        5057
118        0.5242        0.4758        2763        2279        4958
119        0.5227        0.4773        2748        2294        4958
120        0.51385        0.48615        2609        2332        5059
121        0.52455        0.47545        2760        2269        4971
122        0.5272        0.4728        2839        2295        4866
123        0.5267        0.4733        2782        2248        4970
124        0.5289        0.4711        2775        2197        5028
125        0.52875        0.47125        2845        2270        4885
